site,date,max_temp,daily_rainfall,avg_wind_speed
PC,20240719,9.15,0,8
PC,20240721,14.42,0,9
PC,20240722,8.84,6.6,10
PC,20240725,12.79,0.2,11
PP,20240719,9.15,0,8
PP,20240721,14.42,0,9
PP,20240723,9.47,0,16
PP,20240724,15.25,0,9
MD,20240727,20.1,0.3,8
MD,20240728,18.3,0,9
MD,20240729,18.9,0,7
MD,20240731,14.1,2.7,3
MB,20240809,16.8,11.8,4.8
MB,20240810,9.9,0,4.6
MB,20240811,6.4,8.8,6
MB,20240812,8.3,0.8,3.7
